Soil,blue,green,red
A1,0.062922,0.076222,0.158556
A2,0.059570,0.072970,0.135275
A3,0.068655,0.082081,0.142310
A4,0.071368,0.088573,0.176288
A5,0.116488,0.147114,0.226134
B1,0.132381,0.162178,0.260022
B10,0.088441,0.107116,0.189499
B11,0.125190,0.164992,0.283713
B2,0.124100,0.148269,0.223032
B3,0.071200,0.089300,0.155000
B4,0.086400,0.123000,0.256000
B5,0.063400,0.085600,0.182000
B6,0.064700,0.088600,0.182000
B7,0.048200,0.062600,0.128000
B8,0.081300,0.103000,0.179000
B9,0.164196,0.218239,0.358915
C1,0.343636,0.418611,0.557095
C10,0.249485,0.292696,0.380860
C11,0.129184,0.161996,0.269848
C12,0.158269,0.221237,0.392044
C2,0.114000,0.157000,0.294000
C3,0.070400,0.092000,0.159000
C4,0.237535,0.292936,0.410510
C5,0.198452,0.238287,0.318942
C6,0.235789,0.281686,0.368101
C8,0.271686,0.316983,0.395901
C9,0.236073,0.277409,0.384334
E1,0.057000,0.077400,0.202000
E2,0.059600,0.081900,0.216000
E3,0.045800,0.060300,0.213000
E4,0.051600,0.069100,0.180000
E5,0.061000,0.083800,0.192000
E6,0.044567,0.058589,0.234368
E7,0.048900,0.063800,0.252000
E8,0.065500,0.095100,0.370000
E9,0.130000,0.201000,0.447000
EC1,0.062100,0.088800,0.182000
EC2,0.190013,0.271305,0.501310
H1,0.086740,0.111164,0.175407
H10,0.179235,0.244008,0.426161
H11,0.131464,0.188045,0.382491
H12,0.095900,0.142000,0.301000
H13,0.173956,0.183320,0.233955
H14,0.092900,0.116000,0.183000
H2,0.100700,0.115000,0.145000
H3,0.044400,0.064100,0.138000
H4,0.099000,0.125000,0.194000
H5,0.078900,0.108000,0.230000
H6,0.081100,0.107000,0.221000
H7,0.065600,0.088200,0.199000
H8,0.082000,0.121000,0.300000
H9,0.137109,0.191415,0.378081
J1,0.116000,0.156000,0.287000
J2,0.066041,0.077867,0.122964
J3,0.161950,0.214681,0.340335
K1,0.229669,0.306992,0.480986
K2,0.258167,0.332226,0.498312
K3,0.139774,0.170309,0.238843
K4,0.136485,0.171484,0.245417
K5,0.182191,0.213255,0.278978
K6,0.170404,0.199436,0.264878
K7,0.135282,0.165774,0.232528
K8,0.161973,0.195143,0.259511
O1,0.179101,0.245017,0.419838
O2,0.249233,0.323900,0.500184
O3,0.211455,0.281422,0.436161
O4,0.327144,0.433994,0.670745
P1,0.248723,0.333610,0.580453
P2,0.161000,0.221000,0.401000
P3,0.281351,0.380090,0.623164
S1,0.106429,0.147548,0.265993
S10,0.163170,0.226575,0.399853
S11,0.221661,0.294367,0.479628
S12,0.174477,0.239196,0.410818
S13,0.187347,0.249629,0.408385
S14,0.173328,0.244081,0.437039
S15,0.110000,0.157000,0.303000
S16,0.167834,0.240407,0.437043
S17,0.164767,0.233528,0.438183
S18,0.162769,0.230628,0.430101
S19,0.233287,0.318082,0.545618
S2,0.100000,0.141000,0.262000
S3,0.127000,0.181000,0.339000
S4,0.103000,0.150000,0.310000
S6,0.131000,0.188000,0.364000
S7,0.114000,0.167000,0.338000
S8,0.130000,0.185000,0.349000
S9,0.141000,0.200000,0.365000
W1,0.142000,0.199000,0.424000
YA10,0.036800,0.049369,0.122212
YA14,0.049811,0.071855,0.207735
YA17,0.042591,0.059503,0.194040
